id,position.x,position.y,shapeType,R,G,B,isPlaying,baseSize.x,baseSize.y,size.x,size.y,timepast,sizeScale,rotateAngle,pmouseX,pmouseY,mouseX,mouseY
0,63.831671855978264,220.6134215933223,GRASS,200,150,50,true,1.0338287942028357,1.0338287942028357,0.6060602085789429,0.6060602085789429,117.23031071825338,0.5,4.500117628812036,69,224,69,224
1,190.5096179185178,157.51772888960065,GRASS,200,150,50,true,0.5375798383166526,0.5375798383166526,0.6605757143174867,0.6605757143174867,115.78031071825346,0.5,1.5931792078984643,197,160,198,160
2,207.12374867232046,156.92595061667598,GRASS,200,150,50,true,4.632704085505774,4.632704085505774,5.794259317058799,5.794259317058799,115.73031071825346,0.5,3.3052422319993577,198,160,198,160
3,337.2347977364795,249.20381174040105,GRASS,200,150,50,true,6.587679066548624,6.587679066548624,9.73000407707585,9.73000407707585,114.38031071825354,0.5,4.528386597051288,336,247,336,247
4,342.7151673012027,247.26041055394663,GRASS,200,150,50,true,8.531398432094557,8.531398432094557,12.531875240220671,12.531875240220671,114.33031071825354,0.5,3.9433552573581183,334,247,334,247
5,426.8042632949782,286.29413659690414,GRASS,200,150,50,true,10.168389470775336,10.168389470775336,5.73839075592079,5.73839075592079,111.03031071825373,0.5,3.82811386435779,418,279,418,278
6,115.42333855026476,225.97036829479669,SNOW,255,255,255,true,5.666534316246928,5.666534316246928,2.9189269907965083,2.9189269907965083,98.73031071825443,0.5,1.0369159345308718,108,220,108,220
7,112.58162539708613,221.96739824515814,SNOW,255,255,255,true,12.893840945052514,12.893840945052514,6.728278348486985,6.728278348486985,98.68031071825443,0.5,5.081208857077533,105,220,122,220
8,178.2890054941157,223.32593944102342,SNOW,255,255,255,true,20.054541931412928,20.054541931412928,10.623304325542923,10.623304325542923,98.63031071825444,0.5,5.117924326725431,154,220,179,221
9,231.41449997653262,215.694905917264,SNOW,255,255,255,true,14.427990775865677,14.427990775865677,7.7737376738619695,7.7737376738619695,98.58031071825444,0.5,0.905033548798855,210,222,222,223
10,264.4033790424556,214.878187932517,SNOW,255,255,255,true,6.2130045818107025,6.2130045818107025,3.411084377905752,3.411084377905752,98.53031071825444,0.5,3.4458748765143388,248,223,256,223
11,315.69642583826686,222.96249358498505,SNOW,255,255,255,true,13.98011737424192,13.98011737424192,7.834153817921931,7.834153817921931,98.48031071825444,0.5,2.142724728889378,281,222,307,218
12,362.698773216015,221.4236621239146,SNOW,255,255,255,true,12.196806400619318,12.196806400619318,6.986721308742885,6.986721308742885,98.43031071825445,0.5,4.8800725046316815,346,218,366,218
13,431.9663681195512,227.5425566639032,SNOW,255,255,255,true,16.030914750669353,16.030914750669353,9.399782806135768,9.399782806135768,98.38031071825445,0.5,4.018979148641719,411,220,427,220
14,497.66981945662354,211.45883548920304,SNOW,255,255,255,true,22.356126973722663,22.356126973722663,13.433994665344605,13.433994665344605,98.33031071825445,0.5,0.3141536813831061,465,220,491,220
15,523.0524141841379,231.5045668233688,SNOW,255,255,255,true,7.8600662183998935,7.8600662183998935,4.845430102854385,4.845430102854385,98.28031071825446,0.5,0.46465651566620964,512,222,520,222
16,558.1775063041251,221.50884997648453,SNOW,255,255,255,true,8.106964966447766,8.106964966447766,5.131492141745044,5.131492141745044,98.23031071825446,0.5,2.3827044853449357,550,224,566,225
17,625.0293975253428,233.25460147051064,SNOW,255,255,255,true,19.166449813516337,19.166449813516337,12.465900726787414,12.465900726787414,98.18031071825446,0.5,3.7817242236066555,605,226,633,226
18,659.2306680862588,226.04120756953526,SNOW,255,255,255,true,12.355508668001734,12.355508668001734,8.262189173777857,8.262189173777857,98.13031071825446,0.5,3.898332924374349,659,228,667,228
19,708.4978376273309,226.1971418361641,SNOW,255,255,255,true,10.515781830644286,10.515781830644286,7.233129984498878,7.233129984498878,98.08031071825447,0.5,5.262865647346214,689,229,699,229
20,755.8334624040477,219.37475592242072,SNOW,255,255,255,true,20.104157388210133,20.104157388210133,14.228651383016288,14.228651383016288,98.03031071825447,0.5,4.896040832393989,728,229,754,229
21,804.1647582413293,241.91016711365242,SNOW,255,255,255,true,10.53581808962313,10.53581808962313,7.67416589742774,7.67416589742774,97.98031071825447,0.5,2.6917952593984262,790,232,808,232
22,857.1437622463657,237.94063304331877,SNOW,255,255,255,true,14.610169382971097,14.610169382971097,10.953370111978765,10.953370111978765,97.93031071825447,0.5,0.036193996719132156,846,236,861,236
23,927.3165475888446,231.12113799904813,SNOW,255,255,255,true,16.09883814891929,16.09883814891929,12.422743040366743,12.422743040366743,97.88031071825448,0.5,1.656028195640954,893,237,918,240
24,945.9878961372985,242.25270591057446,SNOW,255,255,255,true,5.413565000014712,5.413565000014712,4.299298372600989,4.299298372600989,97.83031071825448,0.5,2.200928307217889,947,242,954,242
25,948.1978545065709,236.83592332718797,SNOW,255,255,255,true,5.138490851209392,5.138490851209392,4.19918801339393,4.19918801339393,97.78031071825448,0.5,1.3824429037816315,954,242,954,242
26,991.2203579523386,247.64386823945932,SNOW,255,255,255,true,14.439969511076017,14.439969511076017,12.139547983773097,12.139547983773097,97.73031071825449,0.5,5.1126886638278926,965,243,983,245
27,1051.6248911942841,260.6905750122245,SNOW,255,255,255,true,24.245064497769626,24.245064497769626,20.96172491422281,20.96172491422281,97.68031071825449,0.5,3.426176375856887,1018,252,1057,259
28,1228.330645700646,275.90011962373933,SNOW,255,255,255,true,29.14661471019415,29.14661471019415,25.90556291124649,25.90556291124649,97.63031071825449,0.5,1.7850190558528476,1170,275,1223,281
